"fno","id","sia","ala","k","ob","gh","pe","coord","neighpe"
15,306,4,3,4,6,2,-4.63205,50,-514.938
17,306,5,3,5,6,1,-4.64243,49,-511.761
19,306,5,2,5,4,1,-4.03945,52,-545.053
2,307,5,2,5,4,1,-3.90609,50,-537.38
3,307,2,3,2,6,4,-3.95693,48,-507.516
5,307,4,3,4,6,2,-4.01766,49,-519.092
6,307,3,1,3,2,3,-3.64989,53,-564.886
8,307,5,3,5,6,1,-4.4537,49,-511.405
9,307,4,3,4,6,2,-4.35613,51,-523.165
11,307,3,3,3,6,3,-4.35097,49,-514.198
12,307,2,2,2,4,4,-4.43748,50,-528.565
13,307,3,3,3,6,3,-5.2955,50,-506.755
14,307,3,1,3,2,3,-3.15141,54,-561.998
15,307,6,3,6,6,0,-4.5041,47,-515.017
16,307,2,1,2,2,4,-4.27552,52,-547.681
17,307,5,3,5,6,1,-4.70648,49,-512.355
18,307,2,3,2,6,4,-4.78063,49,-498.396
20,307,4,1,4,2,2,-4.08587,51,-552.377
1,308,4,3,4,6,2,-4.54313,49,-506.719
2,308,5,2,5,4,1,-3.84086,51,-548.462
4,308,3,1,3,2,3,-4.2638,51,-547.179
5,308,6,2,6,4,0,-4.04024,50,-553.352
6,308,4,2,4,4,2,-3.84565,50,-531.951
7,308,4,2,4,4,2,-4.46451,50,-537.771
8,308,4,3,4,6,2,-4.68584,49,-508.546
9,308,3,2,3,4,3,-4.3722,48,-519.021
10,308,6,3,6,6,0,-3.69398,49,-529.307
11,308,4,2,4,4,2,-4.05708,50,-535.912
12,308,4,2,4,4,2,-4.34759,51,-543.02
14,308,4,2,4,4,2,-3.2407,51,-547.849
15,308,4,3,4,6,2,-4.71625,49,-514.764
16,308,2,2,2,4,4,-4.61976,50,-519.114
17,308,5,3,5,6,1,-5.00223,50,-529.804
18,308,3,3,3,6,3,-4.79173,47,-501.166
19,308,4,2,4,4,2,-4.00493,52,-538.649
20,308,4,3,4,6,2,-4.48733,51,-521.167
2,309,6,1,6,2,0,-3.48733,52,-563.576
3,309,3,2,3,4,3,-3.52906,51,-539.603
4,309,3,2,3,4,3,-4.44821,52,-532.927
5,309,4,2,4,4,2,-3.95219,53,-558.11
6,309,3,2,3,4,3,-3.95057,53,-541.997
7,309,3,1,3,2,3,-4.19943,52,-554.603
8,309,5,3,5,6,1,-4.70735,48,-511.01
9,309,4,2,4,4,2,-4.18636,53,-546.465
10,309,6,2,6,4,0,-3.3131,51,-542.821
11,309,6,3,6,6,0,-4.11384,50,-524.119
12,309,3,2,3,4,3,-4.48745,52,-532.877
13,309,2,1,2,2,4,-4.71887,52,-546.249
14,309,4,3,4,6,2,-3.73523,52,-544.914
16,309,2,3,2,6,4,-4.69909,50,-503.889
17,309,6,3,6,5,0,-4.59349,48,-508.451
18,309,4,2,4,4,2,-4.52257,50,-528.059
19,309,4,3,4,6,2,-4.56013,50,-524.286
1,310,3,3,3,6,3,-4.8692,48,-507.464
2,310,5,1,5,2,1,-3.54048,52,-560.639
3,310,4,2,4,4,2,-3.35764,51,-535.066
4,310,3,3,3,6,3,-4.75573,49,-503.08
7,310,3,1,3,2,3,-4.24378,51,-549.681
8,310,4,3,4,6,2,-4.80028,49,-508.624
9,310,4,2,4,4,2,-4.25627,51,-531.776
10,310,5,2,5,4,1,-3.52493,50,-535.665
11,310,4,2,4,4,2,-4.08949,50,-532.221
12,310,2,3,2,6,4,-4.80591,51,-510.938
13,310,3,2,3,4,3,-4.77897,50,-518.684
14,310,4,2,4,4,2,-3.25927,52,-541.877
16,310,3,3,3,6,3,-4.78322,49,-502.802
17,310,6,3,6,6,0,-4.49508,49,-514.736
18,310,3,3,3,6,3,-4.70429,49,-506.049
19,310,4,3,4,6,2,-4.36697,49,-508.362
1,311,5,2,5,4,1,-4.05243,53,-548.805
2,311,5,2,5,4,1,-3.93715,51,-537.463
4,311,6,2,6,4,0,-3.87828,51,-539.135
