"pe","ala"
-3.56723,0
-4.35427,3
-3.57905,1
-4.00232,2
-4.47597,3
-3.99955,3
-3.86973,2
-3.50248,0
-3.35292,2
-4.03996,3
-4.6364,3
-4.25828,3
-3.66667,2
-3.71757,2
-3.92464,2
-3.89833,2
-4.07036,1
-3.70849,2
-3.58868,3
-3.69081,1
-4.11972,3
-4.16095,2
-4.24208,2
-3.6429,2
-4.69055,3
-4.23313,3
-3.79023,3
-4.16406,2
-4.08705,0
-3.26199,1
-3.63752,1
-3.98442,3
-3.69271,3
-3.60564,2
-3.88776,2
-3.45289,1
-2.82388,1
-4.95306,3
-3.49312,2
-3.5146,2
-3.1157,1
-3.73226,2
-4.1325,3
-4.00248,2
-3.64213,1
-3.74796,2
-3.38737,2
-4.04387,3
-3.10847,2
-3.7419,2
-4.9098,2
-3.93797,1
-3.92459,2
-4.72555,2
-3.79967,3
-4.53804,2
-3.34418,2
-3.98118,2
-4.47225,3
-3.8069,3
-3.32987,2
-3.78367,2
-4.32642,3
-3.50271,1
-3.47975,3
-4.96068,3
-3.31966,1
-3.52431,2
-3.08876,1
-4.04195,3
-4.22394,2
-4.02597,3
-3.81514,2
-4.17945,3
-3.96212,2
-4.10266,2
-3.71006,2
-3.51463,2
-4.75072,2
-3.22286,2
-4.03341,3
-3.42223,1
-4.11953,3
-3.22061,0
-4.04859,2
-4.30157,2
-3.92393,2
-3.745,1
-3.81833,2
-3.76914,3
-3.79499,2
-4.52233,2
-4.4182,1
-3.02447,2
-3.55154,1
-4.99905,2
-4.09266,2
-4.20124,2
-3.66627,2
-4.21079,2
-4.80305,3
-4.34796,2
-3.95806,2
-3.57179,3
-4.52991,3
-3.7305,2
-4.09365,3
-4.13432,1
-4.11248,3
-3.3233,1
-3.22843,1
-2.88867,0
-3.80615,3
-4.18234,3
-3.91092,3
-3.94648,2
-3.73599,1
-4.13037,3
-4.0098,2
-3.85555,3
-3.6055,2
-4.77559,3
-3.10722,2
-3.84945,2
-5.00665,2
-3.23708,0
-4.15505,2
-3.87529,2
-4.73365,3
